3 4151
0.252996 0.404667 1.257976
0.278976 0.448631 1.229500
0.307978 0.497817 1.204414
0.340364 0.552794 1.183202
0.376533 0.614166 1.166474
0.402958 0.658945 1.158183
0.431392 0.707039 1.152491
0.461976 0.758636 1.149712
0.494858 0.813921 1.150206
0.530190 0.873067 1.154385
0.568126 0.936228 1.162720
0.608822 1.003529 1.175749
0.652429 1.075057 1.194076
0.699093 1.150845 1.218382
0.748948 1.230854 1.249426
0.775110 1.272405 1.267733
0.331768 -0.417375 3.472451
0.300243 -0.417268 3.431245
0.269971 -0.416660 3.390907
0.213066 -0.414282 3.312739
0.160793 -0.410856 3.237749
0.112864 -0.406892 3.165736
0.068973 -0.402812 3.096502
0.028803 -0.398961 3.029862
-0.007964 -0.395617 2.965645
-0.041644 -0.393007 2.903699
-0.072547 -0.391309 2.843890
-0.100971 -0.390667 2.786102
-0.127206 -0.391193 2.730236
-0.151523 -0.392977 2.676209
-0.174185 -0.396088 2.623955
-0.195435 -0.400584 2.573419
-0.215506 -0.406509 2.524562
-0.234613 -0.413902 2.477355
-0.261909 -0.427820 2.409603
-0.288125 -0.445223 2.345512
-0.313836 -0.466220 2.285118
-0.339567 -0.490925 2.228509
-0.365798 -0.519468 2.175825
-0.392973 -0.551995 2.127263
-0.421506 -0.588668 2.083078
-0.451784 -0.629665 2.043597
-0.484175 -0.675168 2.009221
-0.519029 -0.725358 1.980440
-0.556678 -0.780397 1.957838
-0.597435 -0.840415 1.942108
-0.626477 -0.883230 1.935834
-0.657110 -0.928288 1.933242
-0.689406 -0.975567 1.934628
-0.723427 -1.025012 1.940313
-0.759226 -1.076535 1.950641
-0.796841 -1.130006 1.965981
-0.836295 -1.185241 1.986720
-0.877589 -1.241999 2.013259
-0.920702 -1.299967 2.046009
-0.965582 -1.358756 2.085377
-1.012144 -1.417887 2.131758
-1.060263 -1.476786 2.185519
-1.109772 -1.534774 2.246978
-1.134981 -1.563186 2.280675
-1.160451 -1.591068 2.316383
-1.186144 -1.618304 2.354118
-1.212022 -1.644773 2.393888
-1.238040 -1.670348 2.435693
-1.264150 -1.694895 2.479522
