3 6342
0.329169 0.533788 1.189808
0.364030 0.592959 1.171508
0.389503 0.636153 1.162022
0.416915 0.682566 1.154994
0.446406 0.732388 1.150716
0.478120 0.785807 1.149525
0.512208 0.843002 1.151806
0.548823 0.904137 1.158001
0.588120 0.969354 1.168612
0.630252 1.038761 1.184210
0.675370 1.112419 1.205436
0.723614 1.190328 1.233012
0.748948 1.230854 1.249426
0.775110 1.272405 1.267733
0.802112 1.314954 1.288044
0.829964 1.358465 1.310476
0.858676 1.402895 1.335149
0.888252 1.448190 1.362190
0.918695 1.494285 1.391726
0.950007 1.541103 1.423889
0.982182 1.588555 1.458812
1.015213 1.636534 1.496631
1.049087 1.684923 1.537479
1.083786 1.733583 1.581492
1.119286 1.782361 1.628800
1.155558 1.831083 1.679530
1.192564 1.879558 1.733801
1.230261 1.927573 1.791725
1.268594 1.974893 1.853401
1.307504 2.021265 1.918915
1.346919 2.066410 1.988334
1.386758 2.110031 2.061707
1.426930 2.151812 2.139055
1.467334 2.191413 2.220375
1.507854 2.228480 2.305629
1.548367 2.262644 2.394745
1.588735 2.293522 2.487611
1.628809 2.320724 2.584073
1.668430 2.343854 2.683929
1.707424 2.362518 2.786930
1.745611 2.376330 2.892773
1.782798 2.384916 3.001105
1.818784 2.387923 3.111518
1.853362 2.385024 3.223552
1.886318 2.375930 3.336695
1.917435 2.360396 3.450389
1.946496 2.338227 3.564030
1.973283 2.309286 3.676981
1.997583 2.273505 3.788573
2.019190 2.230883 3.898115
2.037907 2.181497 4.004910
2.053551 2.125504 4.108259
2.065955 2.063137 4.207475
2.074969 1.994713 4.301898
2.080465 1.920622 4.390905
2.082342 1.841328 4.473920
2.080520 1.757357 4.550431
2.074951 1.669297 4.619991
2.065614 1.577777 4.682235
2.052519 1.483465 4.736881
2.035703 1.387050 4.783734
2.015236 1.289235 4.822690
1.991213 1.190717 4.853736
1.963759 1.092180 4.876945
1.933022 0.994284 4.892472
1.899173 0.897651 4.900548
1.862403 0.802859 4.901473
1.822921 0.710433 4.895604
1.780949 0.620841 4.883348
1.736718 0.534488 4.865151
1.690470 0.451718 4.841485
1.642449 0.372808 4.812842
1.592900 0.297973 4.779722
1.542068 0.227369 4.742623
1.490193 0.161092 4.702037
1.437510 0.099187 4.658442
1.384244 0.041651 4.612293
1.330610 -0.011564 4.564022
1.276814 -0.060542 4.514032
1.223047 -0.105397 4.462698
1.169488 -0.146273 4.410359
1.116301 -0.183333 4.357325
1.063638 -0.216757 4.303872
1.011634 -0.246738 4.250245
0.960412 -0.273476 4.196658
0.910082 -0.297177 4.143297
0.860737 -0.318047 4.090320
0.812461 -0.336292 4.037862
0.765323 -0.352116 3.986032
0.719382 -0.365715 3.934922
0.674684 -0.377282 3.884602
0.631269 -0.387001 3.835129
0.589162 -0.395046 3.786542
0.548384 -0.401586 3.738870
0.508945 -0.406777 3.692130
0.470850 -0.410769 3.646330
0.434096 -0.413699 3.601471
0.398674 -0.415698 3.557546
0.364570 -0.416886 3.514545
0.331768 -0.417375 3.472451
0.300243 -0.417268 3.431245
0.269971 -0.416660 3.390907
0.213066 -0.414282 3.312739
0.160793 -0.410856 3.237749
0.112864 -0.406892 3.165736
0.068973 -0.402812 3.096502
0.028803 -0.398961 3.029862
-0.007964 -0.395617 2.965645
-0.041644 -0.393007 2.903699
-0.072547 -0.391309 2.843890
-0.100971 -0.390667 2.786102
-0.127206 -0.391193 2.730236
-0.151523 -0.392977 2.676209
-0.174185 -0.396088 2.623955
-0.195435 -0.400584 2.573419
-0.215506 -0.406509 2.524562
-0.234613 -0.413902 2.477355
-0.261909 -0.427820 2.409603
-0.288125 -0.445223 2.345512
-0.313836 -0.466220 2.285118
-0.339567 -0.490925 2.228509
-0.484175 -0.675168 2.009221
-0.519029 -0.725358 1.980440
-0.556678 -0.780397 1.957838
-0.597435 -0.840415 1.942108
-0.626477 -0.883230 1.935834
-0.657110 -0.928288 1.933242
-0.689406 -0.975567 1.934628
-0.723427 -1.025012 1.940313
-0.759226 -1.076535 1.950641
-0.796841 -1.130006 1.965981
-0.836295 -1.185241 1.986720
-0.877589 -1.241999 2.013259
-0.920702 -1.299967 2.046009
-0.965582 -1.358756 2.085377
-1.012144 -1.417887 2.131758
-1.060263 -1.476786 2.185519
-1.109772 -1.534774 2.246978
-1.134981 -1.563186 2.280675
-1.160451 -1.591068 2.316383
-1.186144 -1.618304 2.354118
-1.212022 -1.644773 2.393888
-1.238040 -1.670348 2.435693
-1.264150 -1.694895 2.479522
-1.290299 -1.718275 2.525355
-1.316432 -1.740346 2.573159
-1.342487 -1.760959 2.622888
-1.368399 -1.779964 2.674485
-1.394100 -1.797211 2.727876
-1.419517 -1.812546 2.782972
-1.444571 -1.825818 2.839670
-1.469183 -1.836878 2.897848
